outbound_no,goods_no,zone_no,aisles_no,cell_no,aisles_seq,locate_qty,goods_volume,goods_weight
O145,13302226,4H,504H-0G,4HG211,2632,3,1,0.1
O124,12481549,4L,504L-0D,4LD061,2734,1,4372060,3.45
O123,12481549,4L,504L-0D,4LD061,2734,1,4372060,3.45
O144,12481549,4L,504L-0D,4LD061,2734,1,4372060,3.45
O143,12063931,4J,504J-0T,4JT313,2680,1,1069500,0.1
O121,12481549,4L,504L-0D,4LD061,2734,1,4372060,3.45
O158,12733429,4G,504G-0U,4GU813,2611,1,2,0.2
O140,12733429,4G,504G-0U,4GU813,2611,1,2,0.2
O135,12485513,4H,504H-0Q,4HQ427,2642,1,1,0.1
O131,12481549,4L,504L-0D,4LD061,2734,1,4372060,3.45
O161,12704260,4E,504E-0H,4EH733,2528,1,248640,0.22
O162,12621928,4H,504H-01,4H1347,2617,1,190320,0.14
O163,12095651,4G,504G-0D,4GD423,2594,1,1,0.1
O161,12730752,4G,504G-0O,4GO586,2605,1,1,0.1
O161,12595864,4H,504H-0K,4HK783,2636,1,1410815,0.787
O164,12090516,4F,504F-01,4F1592,2547,1,690768,0.36
O165,12111106,4G,504G-0S,4GS924,2609,5,477120,0.42
O166,13267874,4G,504G-0E,4GE427,2595,1,1,0.1
O167,12756046,4F,504F-0L,4FL055,2567,1,1,0.1
O168,12995418,4G,504G-06,4G6784,2587,1,1,0.1
O169,13091478,4F,504F-0M,4FM981,2568,1,1,0.1
O163,10392603,4H,504H-0C,4HC741,2628,1,240500,0.1
O162,12382960,4F,504F-0U,4FU783,2576,1,1,0.1
O170,13169048,4G,504G-03,4G3481,2584,1,1,0.1
O171,10028521237456,4F,504F-0T,4FT693,2575,1,1472000,0.2
O172,13092168,4G,504G-0P,4GP337,2606,1,957600,0.7
O173,12930666,4G,504G-0Q,4GQ144,2607,1,1,0.1
O174,12481767,4E,504E-0N,4EN293,2534,2,1256850,0.935
O171,10028521237465,4F,504F-0R,4FR432,2573,1,1472000,0.2
O175,12890730,4F,504F-0V,4FV573,2577,2,752004,0.52
O176,12451115,4F,504F-0L,4FL164,2567,3,775500,0.355
O177,12182480,4F,504F-0H,4FH846,2563,1,568560,0.1
O178,12886040,4G,504G-0Q,4GQ143,2607,1,1,0.1
O169,13091508,4F,504F-0M,4FM961,2568,1,2,0.2
O178,11945752,4H,504H-0O,4HO062,2640,1,1034880,0.1
O179,12815410,4G,504G-05,4G5432,2586,1,882000,0.6
O180,13091508,4F,504F-0M,4FM961,2568,1,2,0.2
O181,12255415,4H,504H-0Q,4HQ434,2642,1,1,0.1
O182,12217462,4G,504G-06,4G6701,2587,2,1,0.1
O183,12868679,4F,504F-0J,4FJ414,2565,11,415548,0.25
O179,12629223,4G,504G-07,4G7877,2588,1,1256850,0.94
O184,13076020,4G,504G-03,4G3154,2584,1,1,0.1
O185,12020227,4F,504F-0D,4FD715,2559,2,3,0.3
O176,12020227,4F,504F-0D,4FD715,2559,3,3,0.3
O186,12020227,4F,504F-0D,4FD715,2559,1,3,0.3
O184,12958898,4G,504G-0X,4GX575,2614,1,693000,0.545
O177,13315260,4G,504G-0S,4GS353,2609,1,1,0.1
O187,13280436,4G,504G-05,4G5747,2586,1,625300,0.57
O188,12653685,4G,504G-0C,4GC012,2593,13,1,0.1
O189,13267214,4F,504F-0X,4FX051,2579,2,35145760,0.39
O166,12756073,4G,504G-0W,4GW746,2613,1,1,0.1
O190,12874598,4F,504F-0C,4FC574,2558,2,619500,0.473
O167,13309076,4G,504G-0J,4GJ461,2600,1,1138592,0.6
O187,12537342,4H,504H-0J,4HJ691,2635,1,1,0.1
O186,11693699,4G,504G-0L,4GL586,2602,1,624512,0.1
O191,12778752,4G,504G-0Z,4GZ364,2616,2,599760,0.42
O192,12306006,4G,504G-0K,4GK726,2601,1,1,0.1
O191,12607671,4G,504G-0F,4GF125,2596,1,299250,0.28
O173,12697539,4G,504G-06,4G6532,2587,1,1,0.1
O180,13022190,4G,504G-0D,4GD374,2594,1,240500,0.175
O181,11148548,4G,504G-07,4G7035,2588,1,613088,0.1
O179,12874238,4G,504G-0A,4GA333,2591,1,1182940,0.905
O193,12532619,4G,504G-0A,4GA344,2591,2,772560,0.56
O194,12532619,4G,504G-0A,4GA344,2591,5,772560,0.56
O195,12532619,4G,504G-0A,4GA344,2591,4,772560,0.56
O196,12532619,4G,504G-0A,4GA344,2591,1,772560,0.56
O197,12628932,4G,504G-0D,4GD554,2594,1,463450,0.26
O198,12766426,4G,504G-0D,4GD961,2594,1,1,0.1
O199,12707347,4H,504H-0C,4HC221,2628,1,193880,0.145
O192,12289589,4G,504G-0K,4GK546,2601,1,1,0.1
O200,12443504,4G,504G-0M,4GM135,2603,2,585314,0.36
O181,11078344,4G,504G-0Q,4GQ704,2607,1,444000,0.1
O168,11378284,4G,504G-06,4G6725,2587,1,760960,0.1
O197,12536159,4F,504F-03,4F3621,2549,1,1,1.0
O172,12794339,4G,504G-0Y,4GY822,2615,1,1077300,0.855
O196,12897762,4H,504H-05,4H5497,2621,1,1320960,0.79
O199,12901398,4E,504E-0N,4EN295,2534,1,240870,0.15
O170,13058900,4G,504G-01,4G1035,2582,1,580320,0.42
O170,13058880,4F,504F-0L,4FL463,2567,1,336700,0.225
O173,13230240,4G,504G-0V,4GV515,2612,1,1,0.1
O164,12428539,4F,504F-03,4F3064,2549,1,621504,0.375
O198,11231194,4E,504E-0J,4EJ805,2530,1,1013760,0.1
O201,13320096,4J,504J-0J,4JJ396,2670,1,482864,0.81
O202,12856996,4J,504J-0T,4JT073,2680,1,1,0.1
O203,11569520,4F,504F-0E,4FE156,2560,1,1026432,0.1
O204,12870573,4J,504J-0A,4JA482,2661,1,1,0.1
O205,12365817,4K,504K-0U,4KU555,2716,1,1328250,0.685
O206,12280271,4K,504K-0S,4KS463,2714,10,924000,0.66
O207,11231194,4E,504E-0J,4EJ805,2530,1,1013760,0.1
O208,12280271,4K,504K-0S,4KS463,2714,1,924000,0.66
O209,12148011,4G,504G-0A,4GA386,2591,1,1,0.1
O210,13280354,4E,504E-0L,4EL144,2532,1,1506750,0.32
O211,12952374,4G,504G-0L,4GL906,2602,1,1,0.1
O212,12770599,4H,504H-0U,4HU141,2646,1,253700,0.165
O203,10213031,4H,504H-0U,4HU262,2646,1,127872,0.1
O213,12921746,4E,504E-0H,4EH021,2528,1,1151280,0.7
O214,12921746,4E,504E-0H,4EH021,2528,1,1151280,0.7
O215,12762519,4G,504G-0G,4GG274,2597,1,879648,0.47
O216,12520010,4G,504G-04,4G4105,2585,1,892782,0.705
O217,12520010,4G,504G-0S,4GS744,2609,1,1785564,1.41
O215,12367196,4M,504M-0G,4MG031,2772,1,2,0.2
O205,12520010,4G,504G-0S,4GS744,2609,1,1785564,1.41
O218,12280898,4J,504J-0L,4JL212,2672,1,463050,0.25
O219,12521005,4H,504H-0Q,4HQ335,2642,1,1,0.1
O207,11835423,4J,504J-01,4J1984,2652,1,307008,0.1
O220,12767821,4G,504G-0E,4GE163,2595,1,72100,0.055
O221,12520010,4G,504G-04,4G4105,2585,1,892782,0.705
O222,10687575,4J,504J-0F,4JF984,2666,16,525224,0.1
O206,12546327,4G,504G-0E,4GE582,2595,2,425100,0.25
O223,12908264,4G,504G-0F,4GF283,2596,1,281610,0.33
O224,12520010,4G,504G-04,4G4105,2585,1,892782,0.705
O225,12520010,4G,504G-0S,4GS744,2609,1,1785564,1.41
O226,12864309,4J,504J-04,4J4042,2655,1,1,0.1
O227,12520010,4G,504G-04,4G4105,2585,1,892782,0.705
O224,12520010,4G,504G-0S,4GS744,2609,1,1785564,1.41
O228,12520010,4G,504G-0S,4GS744,2609,1,1785564,1.41
O216,12520010,4G,504G-0S,4GS744,2609,1,1785564,1.41
O229,12908264,4G,504G-0F,4GF283,2596,1,281610,0.33
O217,12520010,4G,504G-04,4G4105,2585,1,892782,0.705
O202,12906310,4F,504F-01,4F1385,2547,1,929250,0.77
O215,12856994,4J,504J-0Y,4JY516,2685,1,498960,0.38
O227,12520010,4G,504G-01,4G1455,2582,1,4463910,3.525
O217,12520010,4G,504G-01,4G1455,2582,1,4463910,3.525
O228,12520010,4G,504G-01,4G1455,2582,1,4463910,3.525
O205,12520010,4G,504G-01,4G1455,2582,1,4463910,3.525
O230,12520010,4G,504G-01,4G1455,2582,1,4463910,3.525
O222,10687575,4H,504H-0F,4HF456,2631,16,525224,0.1
O220,13225412,4M,504M-0F,4MF121,2771,1,5200000,4.15
O231,12377675,4F,504F-0A,4FA492,2556,1,277200,0.23
O232,12520010,4G,504G-01,4G1455,2582,1,4463910,3.525
O216,12520010,4G,504G-01,4G1455,2582,1,4463910,3.525
O218,12020227,4F,504F-0D,4FD715,2559,1,1,0.1
O233,12520010,4G,504G-01,4G1455,2582,1,4463910,3.525
O224,12520010,4G,504G-01,4G1455,2582,1,4463910,3.525
O234,12868679,4F,504F-0J,4FJ414,2565,6,415548,0.25
O204,12863081,4G,504G-08,4G8322,2589,1,1665830,0.45
O222,10687575,4G,504G-0L,4GL506,2602,16,525224,0.1
O214,12129541,4L,504L-0D,4LD031,2734,1,3316950,1.125
O213,12129541,4L,504L-0D,4LD031,2734,1,3316950,1.125
O231,12408767,4J,504J-05,4J5761,2656,1,604800,0.37
O235,12129541,4L,504L-0D,4LD031,2734,1,3316950,1.125
O234,13318464,4J,504J-0N,4JN983,2674,4,1105650,0.42
O236,12689353,4E,504E-0N,4EN034,2534,2,628320,0.5
O231,12377739,4F,504F-0P,4FP051,2571,1,1,0.1
O237,12689353,4E,504E-0N,4EN034,2534,1,628320,0.5
O238,12660041,4K,504K-0Q,4KQ022,2712,1,4672800,3.51
O221,12520010,4G,504G-01,4G1455,2582,1,4463910,3.525
O225,12520010,4G,504G-01,4G1455,2582,1,4463910,3.525
O221,12660041,4K,504K-0Q,4KQ022,2712,1,4672800,3.51
O238,12520010,4G,504G-01,4G1455,2582,1,4463910,3.525
O237,12975400,4J,504J-0Y,4JY254,2685,1,248640,0.16
O209,12082506,4K,504K-0R,4KR333,2713,1,1,0.1
O202,12857736,4F,504F-0B,4FB795,2557,1,1,1.0
O239,12908264,4G,504G-0F,4GF283,2596,1,281610,0.33
O235,12984812,4G,504G-01,4G1923,2582,1,1,0.1
O228,12481549,4L,504L-0D,4LD061,2734,1,6995296,5.52
O216,12520010,4G,504G-02,4G2433,2583,1,1785564,1.41
O210,12895994,4J,504J-09,4J9876,2660,1,1501920,1.44
O229,12895994,4J,504J-09,4J9876,2660,1,1501920,1.44
O232,12520010,4G,504G-02,4G2433,2583,1,1785564,1.41
O233,12382935,4K,504K-0R,4KR536,2713,1,2,0.2
O228,12382935,4K,504K-0R,4KR536,2713,1,2,0.2
O223,12895994,4J,504J-09,4J9876,2660,1,1501920,1.44
O217,12520010,4G,504G-02,4G2433,2583,1,1785564,1.41
O227,12520010,4G,504G-02,4G2433,2583,1,1785564,1.41
O230,12520010,4G,504G-01,4G1475,2582,1,1785564,1.41
O227,12481549,4L,504L-0D,4LD061,2734,1,6995296,5.52
O232,12520010,4G,504G-01,4G1475,2582,1,1785564,1.41
O205,12520010,4G,504G-01,4G1475,2582,1,1785564,1.41
O201,12874397,4F,504F-07,4F7065,2553,1,1,0.1
O238,12520010,4G,504G-02,4G2433,2583,1,1785564,1.41
O228,12520010,4G,504G-01,4G1475,2582,1,1785564,1.41
O225,12520010,4G,504G-02,4G2433,2583,1,1785564,1.41
O224,12520010,4G,504G-02,4G2433,2583,1,1785564,1.41
O221,12520010,4G,504G-01,4G1475,2582,1,1785564,1.41
O240,12592661,4G,504G-0B,4GB884,2592,1,2162160,1.185
O217,12520010,4G,504G-01,4G1475,2582,1,1785564,1.41
O233,12520010,4G,504G-01,4G1475,2582,1,1785564,1.41
O227,12520010,4G,504G-01,4G1475,2582,1,1785564,1.41
O224,12481549,4L,504L-0D,4LD061,2734,1,6995296,5.52
O212,12738557,4F,504F-0U,4FU083,2576,1,1,0.1
O230,12481549,4L,504L-0D,4LD061,2734,1,6995296,5.52
O225,12481549,4L,504L-0D,4LD061,2734,1,6995296,5.52
O236,12689331,4J,504J-0C,4JC454,2663,3,353430,0.25
O232,12481549,4L,504L-0D,4LD061,2734,1,6995296,5.52
O219,12524003,4G,504G-0O,4GO776,2605,1,1,0.1
O239,12699715,4J,504J-0D,4JD074,2664,1,123900,0.16
O212,12738531,4G,504G-08,4G8327,2589,1,1,0.1
